first_name,last_name,dob,year_of_birth,gender,zip,email,phone,address,first_initial
,Junken,2019-06-03,2019,F,20818,margarethehentschel@hotmail.de,+49(0)0205493496,Oliver-Hellwig-Gasse 07,D
,Weihmann,1957-04-25,1957,M,03276,snoack@web.de,(00482) 96487,Dowergstr. 9/8,A
Fatima,BMA.,2004-08-21,2004,F,39386,aleksandr48@aol.de,+49(0)7631001707,Gesine-Keudel-Weg 8,F
Prof.,B.Sc.,1928-02-12,1928,M,78503,jfreudenberger@gmx.de,(02369) 38805,Holzapfelplatz 420,P
Lothar,Wesack,2024-08-27,2024,M,23689,bpergande@yahoo.de,+49(0)2000 93419,Kitzmannring 1/6,L
Isa,Schlauchin,1942-09-26,1942,F,53825,hannelore80@googlemail.com,0047163949,Corinne-Wohlgemut-Straße 7/4,I
Erol,Ehlert,1930-11-28,1930,M,62816,rosina84@googlemail.com,(00906) 55430,Hertrampfring 5/2,E
Lotte,Bruder-Hertrampf,1933-10-31,1933,F,65478,osnjaherrmann@web.de,+49(0)9892 91686,Sören-Beyer-Straße 4,L
Prof.,Koch,1951-07-10,1951,,50156,rschlosser@hotmail.de,+49(0)5506785857,Kösterweg 56,P
Ernestine,Reuter,1935-07-09,1935,F,73101,samuel69@hotmail.de,01881 164655,Kira-Staude-Weg 0/8,E
Ramona,Gorlitz,1942-07-02,1942,F,62179,rohtruthild@web.de,+49(0)1130395568,Höfigplatz 34,R
Ing.,MBA.,1920-05-24,1920,F,89126,edith57@gmx.de,09875218397,Attila-Bolander-Allee 9/8,I
Karl-Jürgen,Lehmann,2022-06-02,2022,M,94192,killermalries@web.de,+49 (0) 9897 562736,Junckengasse 779,K
Ronald,Linke-Wernecke,1943-07-19,1943,,44648,irmajunck@aol.de,,Sibylle-Kaul-Weg 0,R
Margret,Dörschner,1952-08-15,1952,F,62877,hermann-joseflindau@aol.de,+49 (0) 8331 382587,Guteweg 6/4,M
Friedhelm,MBA.,1971-07-21,1971,M,68276,bodosoelzer@web.de,+49(0)6087 33190,Winklerring 45,F
Hans-Erich,Jäkel,1950-07-28,1950,M,00101,andrei25@aol.de,,Evelyne-Scheuermann-Straße 74,H
Dr.,Schottin,1999-06-28,1999,M,55792,samira10@googlemail.com,(00557) 225255,Lothar-Weihmann-Straße 096,D
Robert,Löchle-Mentzel,1935-04-30,1935,M,64885,doerschnerdogan@gmail.com,+49 (0) 3844 451223,Waldemar-Jopich-Ring 2/6,R
Nicolai,Anders,1977-08-21,1977,M,45541,ivangiess@googlemail.com,+49(0)0531 374465,Ruststraße 45,N
Ella,B.Eng.,2007-01-30,2007,,02504,mehmettlustek@web.de,+49(0)9054068371,Bärerweg 6,E
Siegward,Löffler-Gutknecht,1950-03-01,1950,M,47013,jockelleo@hotmail.de,07432 264067,Heckerstraße 23,S
Christopher,Stumpf,2013-02-13,2013,M,62492,patrickschaaf@yahoo.de,03789512557,Mentzelgasse 674,C
Llio,Ebert,1944-05-11,1944,F,37181,mehlert@gmail.com,+49(0)2489 484532,Hans-Uwe-Käster-Ring 582,L
Lucia,Otto,1917-04-17,1917,F,75560,albanruppert@gmx.de,03948 968965,Bernward-Huhn-Ring 991,L
Karl-August,B.Eng.,2021-09-08,2021,M,91363,sorgatzwerner@gmx.de,+49(0)6534405995,Karlheinz-Losekann-Straße 041,K
Dr.,Jungfer,1962-06-02,1962,M,05295,neureuthercaterina@aol.de,+49(0) 789370023,aHhnstraße 9/5,D
Dorit,Dehmel-Barkholz,1947-11-01,1947,F,56109,,+49(0)0996 33952,Manuel-Seifert-Allee 3/4,D
Wolf-Dietrich,Wilmsen,1911-03-10,1911,M,82887,sieringfrieda@aol.de,+49(0)7800 12733,Cengiz-Röhricht-Platz 4/6,W
,Scholz,1991-09-10,1991,M,99281,eric83@web.de,,Boris-Höfig-Gasse 2,U
Marzean,.BEng.,2016-05-10,2016,F,,cengizmaelzer@web.de,+49(0)5318 23511,Gierschnerplatz 87,M
Ing.,MBA.,1945-07-25,1945,F,71281,ottosimon@yahoo.de,+49(0)7038276407,Hörleallee 00,I
Ann-Kathrin,Wieloch,1956-08-20,1956,F,05642,thaddaeusvan-der-dussen@web.de,08126 89837,Hans Dieter-Nette-Straße 13,A
Georgine,Austermühle-Tröst,2007-02-07,2007,F,15195,hans-joachimkroker@googlemail.com,+49 (0) 2592 020996,Pölitzstraße 92,G
Hans-Karl,Salz,1984-05-16,1984,M,12668,gbohlander@googlemail.com,07988 624412,Trubinweg 164,H
Eva-Marie,Peukert,2013-02-13,2013,F,91652,marielehellwig@gmx.de,+49(0) 106224672,Adriana-Loos-Ring 57,E
Berend,Kramer-Ehlert,1994-11-25,1994,M,51700,dvogt@web.de,(05451) 369870,Schmiedeckestraße 966,B
Antno,Gehringer,2020-12-03,2020,M,92535,kbeer@googlemail.com,+49(0) 705871943,Heckerstraße 2,A
,Scholtz,1916-02-20,1916,F,14418,ortmanncatherine@googlemail.com,,,F
Willi,Ditschlerin,1972-08-15,1972,M,,kristinaeberhardt@hotmail.de,+49(0)0492 858157,,W
Herr,Biggen,2012-04-19,2012,M,28721,neureuthercathrin@gmx.de,+49(0)8808784927,Hans-Martin-Heß-Platz 7,H
Mathilde,B.A.,1916-03-18,1916,F,04196,uschigutknehct@gmail.com,+49 (0) 9185 704381,Charlotte-Pergande-Gasse 5,M
Frank-Peter,MAB.,1965-03-07,1965,M,36668,heidrichilias@hotmail.de,+49(0) 991831839,Nadeshda-Dobes-Straße 6/8,F
,B.A.,1995-03-30,1995,M,53104,meyerdolores@aol.de,+49(0)3348120055,Drewesring 3/5,F
Günther,Kdae,1921-05-19,1921,M,00704,seifertharor@hotmail.de,+49(0)7084543209,Lorenz-Carsten-Allee 5/1,G
,B.A.,1917-03-31,1917,M,44972,clairecichorius@web.de,+49(0)9249 923474,Heinz-Otto-Etzler-Ring 531,G
